name
3D printing
Acrobatics
Acting
Action figure
Air sports
Aircraft spotting
Airsoft
Amateur astronomy
Amateur radio
American football
Animal fancy
Animation
Antiquing
Antiquities
Aquascaping
Archery
Art collecting
Association football
Astronomy
Audiophile
Australian rules football
Auto audiophilia
Auto racing
Axe throwing
Backpacking
Badminton
Baking
BASE jumping
Baseball
Basketball
Baton twirling
Beach volleyball
Beauty pageants
Beekeeping
Billiards
Birdwatching
Blacksmithing
Blogging
BMX
Board sports
Board/tabletop games
Bodybuilding
Bonsai
Book collecting
Book discussion clubs
Book restoration
Bowling
Boxing
Brazilian jiu-jitsu
Breadmaking
Breakdancing
Bridge
Building
Bus spotting
Butterfly watching
Cabaret
Calligraphy
Camping
Candle making
Canoeing
Canyoning
Car fixing & building
Card games
Cartophily�
Caving
Cheerleading
Cheesemaking
Chess
Climbing
Clothesmaking
Coffee roasting
Coin collecting
Collecting
Color guard
Coloring
Comic book collecting
Composting
Computer programming
Confectionery
Cooking
Cosplaying
Couponing
Craft
Creative writing
Cricket
Crocheting
Cross-stitch
Crossword puzzles
Cryptography
Cue sports
Curling
Cycling
Dance
Dancing
Darts
Debate
Deltiology�
Die-cast toy
Digital arts
Disc golf
Distro Hopping
Djing
Do it yourself
Dog sport
Dolls
Dowsing
Drama
Drawing
Drink mixing
Driving
Eating
Electronics
Element collecting
Embroidery
Ephemera collecting
Equestrianism
Esports
Exhibition drill
Experimenting
Fantasy sports
Fashion
Fashion design
Fencing
Field hockey
Figure skating
Fishing
Fishkeeping
Flag football
Flower arranging
Flower collecting and pressing
Flower growing
Flying
Flying disc
Footbag
Foraging
Foreign language learning
Fossil hunting
Freestyle football
Furniture building
Fusilately�
Gardening
Genealogy
Geocaching
Ghost hunting
Gingerbread house making
Glassblowing
Go
Gold prospecting
Golfing
Gongoozling
Graffiti
Graphic design
Gunsmithing
Gymnastics
Hacking
Handball
Herbalism
Herp keeping
Herping
High-power rocketry
Hiking
Hiking/backpacking
Hobby horsing
Home improvement
Homebrewing
Hooping
Horseback riding
Hula hooping
Hunting
Hydroponics
Ice hockey
Ice skating
Inline skating
Insect collecting
Jewelry making
Jigsaw puzzles
Jogging
Journaling
Judo
Juggling
Jujitsu
Jukskei
Kabaddi
Karaoke
Karate
Kart racing
Kayaking
Kendama
Kite flying
Kitesurfing
Knife collecting
Knife making
Knife throwing
Knitting
Knot tying
Kombucha brewing
Lace making
Lacrosse
Lapidary
LARPing
Laser tag
Learning
Leather crafting
Lego building
Letterboxing
Listening to music
Listening to podcasts
Lock picking
Longboarding
Lotology�
Machining
Macrame
Magic
Magnet fishing
Mahjong
Makeup
Marbles
Marching band
Martial arts
Meditation
Metal detecting
Metalworking
Meteorology
Microscopy
Mineral collecting
Model aircraft
Model building
Model engineering
Model United Nations
Motor sports
Mountain biking
Mountaineering
Movie and movie memorabilia collecting
Mushroom hunting/mycology
Nail art
Needlepoint
Netball
Nordic skating
Orienteering
Origami
Paintball
Painting
Parkour
Perfume
Pet adoption & fostering
Philately
Phillumeny
Photography
Playing musical instruments
Podcast hosting
Poi
Poker
Polo
Pottery
Powerlifting
Practical jokes
Pressed flower craft
Puzzles
Quilling
Quilting
Quizzes
Racquetball
Radio-controlled car racing
Rafting
Rail transport modeling
Rail transport modelling
Rappelling
Rapping
Reading
Record collecting
Refinishing
Road biking
Robot combat
Rock balancing
Rock climbing
Rock tumbling
Role-playing games
Roller derby
Roller skating
Rubik's Cube
Rugby
Rugby league football
Running
Sailing
Sand art
Satellite watching
Scouting
Scrapbooking
Scuba diving
Sculling�or�rowing
Sculpting
Scutelliphily
Sea glass collecting
Seashell collecting
Sewing
Shoemaking
Shoes
Shogi
Shooting
Shooting sport
Shopping
Shortwave listening
Singing
Skateboarding
Sketching
Skiing
Skimboarding
Skydiving
Slacklining
Slot car racing
Snowboarding
Soapmaking
Soccer
Social media
Softball
Speed skating
Speedcubing
Sport stacking
Sports memorabilia
Squash
Stamp collecting
Stand-up comedy
Stone collecting
Stone skipping
Stuffed toy collecting
Sun bathing
Surfing
Survivalism
Swimming
Table football
Table tennis
Tabletop games
Taekwondo
Tai chi
Taxidermy
Tea bag collecting
Tennis
Tennis polo
Tether car
Thrifting
Ticket collecting
Topiary
Tour skating
Toys
Trainspotting
Trapshooting
Travel
Traveling
Triathlon
Ultimate frisbee
Urban exploration
Vacation
Vegetable farming
Vehicle restoration
Video editing
Video game collecting
Video game developing
Video gaming
Videophilia
Vintage cars
Vintage clothing
Vinyl Records
Volleyball
Walking
Watching movies
Watching television
Water polo
Water sports
Weaving
Weight training
Weightlifting
Welding
Whale watching
Whittling
Wikipedia editing
Winemaking
Wood carving
Woodworking
Word searches
Worldbuilding
Wrestling
Writing
Yoga
Yo-yoing
